OBS.      X1          X2
 228    -48.6438     23.8011
 229    -49.0205     23.8510
 230    -51.1033     25.0223
 231    -54.0196     26.9718
 232    -50.3884     24.5047
 233    -50.9864     25.0296
 234    -51.3637     25.1285
 235    -52.1789     24.8257
 236    -52.6476     24.7667
 237    -53.8468     25.5575
 238    -53.7378     25.8749
 239    -52.8644     25.3945
 240    -53.1066     25.6632
 241    -50.1702     24.2072
 242    -47.8524     23.5613
 243    -43.8805     21.3742
 244    -49.0732     24.9885
 245    -49.7674     25.4859
 246    -51.7851     26.7922
 247    -50.8110     26.7721
 248    -51.2800     27.1728
 249    -53.7784     28.8247
 250    -53.3532     29.0504
 251    -50.3994     27.3907
 252    -47.2935     25.5324
 253    -44.7734     24.2699
 254    -44.3546     24.1932
 255    -41.9955     22.4168
 256    -44.8689     24.3209
 257    -45.2851     24.9285
 258    -48.3737     26.5652
 259    -47.1851     25.8376
 260    -44.0548     22.9729
 261    -42.8810     22.2924
 262    -40.8996     21.4312
 263    -44.5495     23.2473
 264    -46.6263     24.7909
 265    -46.7409     24.4109
 266    -48.2578     24.8346
 267    -44.6533     22.3878
 268    -41.7948     20.9726
 269    -37.4815     18.1578
 270    -40.0539     19.0211
 271    -38.4243     18.5776
 272    -42.2220     20.6453
 273    -44.4338     21.8737
 274    -43.3368     21.0921
 275    -39.6061     18.9727
 276    -38.0934     17.8534
 277    -38.4985     17.9839
 278    -42.3272     20.2979
 279    -39.0753     18.2476
 280    -43.2259     21.3333
 281    -41.9248     21.0938
 282    -39.4057     19.7215
 283    -39.1374     19.0105
 284    -39.3887     19.4135
 285    -43.4995     22.3775
 286    -41.3416     21.1214
 287    -39.3614     20.0400
 288    -44.5258     24.0267
 289    -47.5344     26.1317
 290    -44.6187     23.7648
 291    -47.1599     26.1899
 292    -45.4463     24.9011
 293    -45.2836     24.7813
 294    -43.2022     23.5556
 295    -45.4233     24.1748
 296    -39.5494     20.4563
 297    -39.7945     20.8503
 298    -39.5826     20.2383
 299    -39.8330     20.5596
 300    -40.2691     21.5397
 301    -34.4471     17.9074
 302    -33.6241     16.8546
 303    -36.5893     19.4239
 304    -35.6862     18.5223
 305    -33.9842     18.1908
 306    -33.3782     17.8355
 307    -31.8382     17.1742
 308    -32.1834     18.1813
 309    -29.4521     16.9444
 310    -26.9771     15.8005
 311    -27.4792     16.2347
 312    -30.4054     18.1137
 313    -29.3734     17.8330
 314    -31.8252     19.7567
 315    -31.5579     19.4318
 316    -32.3009     20.1787
 317    -34.3884     21.7605
 318    -31.2139     21.0031
 319    -32.9963     22.0783
 320    -33.4480     22.1143
 321    -33.6136     21.9272
 322    -38.0084     24.4585
 323    -41.3313     26.0751
 324    -40.1179     25.7715
 325    -38.7557     25.5400
 326    -42.0463     27.1004
 327    -38.1268     24.5070
 328    -38.6426     24.9320
 329    -39.9201     25.4695
 330    -40.8456     25.0664
 331    -41.2245     25.4268
 332    -41.4169     25.5782
 333    -43.7197     26.8235
 334    -44.4811     26.2960
 335    -40.0066     23.1035
 336    -35.5493     20.8701
 337    -34.9770     21.0143
 338    -36.5839     21.9116
 339    -39.9200     23.7944
 340    -39.1581     21.8313
 341    -40.1612     22.0064
 342    -40.9497     22.4576
 343    -42.0630     24.1521
 344    -42.6076     24.3486
 345    -42.0266     23.8698
 346    -45.5332     25.4994
 347    -44.6781     24.4503
 348    -43.1763     23.0717
 349    -47.5538     26.3540
 350    -49.3347     27.4215
 351    -50.3630     28.6374
 352    -50.6107     29.1758
 353    -54.1811     30.8683
 354    -56.1401     32.7254
 355    -58.1123     33.7292
 356    -58.2666     33.6897
 357    -55.4049     31.5501
 358    -52.1261     30.0284
 359    -54.0655     31.4517
 360    -50.0437     28.5269
 361    -50.3096     28.4359
 362    -49.3445     28.3980
 363    -50.2223     29.7587
 364    -47.4552     27.3311
 365    -47.0414     27.0903
 366    -50.1630     29.3775
 367    -53.9086     31.9476
 368    -56.4422     33.5770
 369    -58.5605     34.5007
 370    -56.9184     32.7955
 371    -54.7608     31.5920
 372    -54.2887     31.6374
 373    -51.6168     30.3002
 374    -53.9629     31.9075
 375    -53.0408     31.9720
 376    -52.2703     31.6273
 377    -51.2215     30.9166
 378    -50.0698     30.3380
 379    -48.3718     29.0580
 380    -45.7805     27.8931
 381    -42.9402     26.0468
 382    -45.1152     27.8350
 383    -44.5309     27.5342
 384    -47.6736     29.2993
 385    -47.7383     28.8168
 386    -47.5512     28.2011
 387    -49.9539     30.5403
 388    -47.1061     28.4152
 389    -44.2353     26.2866
 390    -45.2735     26.2453
 391    -48.2789     28.1900
 392    -51.2131     29.5428
 393    -51.9307     29.8213
 394    -48.1248     26.9696
 395    -48.0090     26.8338
 396    -48.3731     27.4589
 397    -46.9782     27.4175
 398    -47.3287     27.4946
 399    -48.2363     28.4330
 400    -50.1213     29.4464
 401    -54.3931     32.2287
 402    -60.3649     36.1534
 403    -58.8541     35.2636
 404    -61.4948     37.1179
 405    -61.9422     36.7620
 406    -61.3587     36.0434
 407    -59.9871     35.8206
 408    -62.4595     37.6170
 409    -61.8815     37.0584
 410    -64.1278     37.7804
 411    -61.1997     36.1565
 412    -60.3740     36.1040
 413    -60.7059     35.6603
 414    -61.5025     36.0255
 415    -62.0428     35.4945
 416    -62.7915     35.2376
 417    -63.7364     36.3695
 418    -62.1838     35.5477
 419    -60.6110     34.6185
 420    -58.9924     33.4773
 421    -62.1580     35.5225
 422    -61.1626     34.7556
 423    -64.6581     36.5691
 424    -62.9836     35.4518
 425    -64.4638     36.6783
 426    -68.9801     39.0949
 427    -67.5546     37.9473
 428    -65.4635     36.1828
 429    -65.9414     35.3464
 430    -64.9180     34.7480
 431    -60.7234     32.5984
 432    -63.9983     34.1873
 433    -65.7485     34.9162
 434    -71.7049     38.2753
 435    -73.5596     39.1270
 436    -74.1751     38.9748
 437    -74.3976     38.3056
 438    -76.2423     39.5463
 439    -77.6450     40.1994
 440    -80.1365     41.5528
 441    -79.7409     41.5227
 442    -75.9808     39.1119
 443    -72.9956     36.8612
 444    -71.6821     36.2633
 445    -70.3214     35.6996
 446    -68.4235     34.6242
 447    -65.3068     32.9884
 448    -68.8727     34.8193
 449    -67.5057     34.0477
 450    -70.0247     35.5680
 451    -71.4772     37.0307
 452    -71.0033     37.0540
 453    -72.5838     37.9600
 454    -71.7944     37.9907
 455    -70.2567     37.4137
 456    -69.3446     36.6858
 457    -67.5683     35.8347
 458    -70.4213     38.0526
 459    -68.7410     36.9471
 460    -67.3903     36.3939
 461    -66.5956     35.6217
 462    -67.2838     36.4821
 463    -71.9318     39.4942
 464    -73.1209     39.7177
 465    -75.5164     41.1938
 466    -73.2198     40.6973
 467    -69.2375     38.2940
 468    -69.3253     38.3939
 469    -68.1265     37.7145
 470    -69.0194     38.4325
 471    -66.2190     36.5524
 472    -65.0166     35.7799
 473    -65.1327     35.1054
 474    -63.3090     33.6705
 475    -64.0411     34.3852
 476    -65.5123     35.4240
 477    -61.1663     32.7975
 478    -61.6711     32.8519
 479    -63.5313     34.2685
 480    -60.4168     31.5761
 481    -59.1910     30.7429
 482    -60.9108     30.7608
 483    -63.0200     31.9068
 484    -64.6195     32.9430
 485    -66.9970     33.7466
 486    -71.4585     36.5641
 487    -71.9603     36.8941
 488    -75.9024     39.0315
